Nhiệt độ thuận lợi nhất cho quá trình hô hấp ở sinh vật thường nằm trong khoảng nào?,$25^{\circ}C$ đến $30^{\circ}C$.
Cường độ hô hấp ở thực vật sẽ giảm mạnh khi nồng độ oxygen trong không khí xuống dưới mức bao nhiêu?,Dưới $5\%$.
Tại sao cần sấy khô hạt giống trước khi cho vào lọ kín để bảo quản?,"Hàm lượng nước thấp làm giảm cường độ hô hấp, giúp hạt sống tiềm sinh lâu hơn."
Tại sao không nên để nhiều hoa hoặc cây xanh trong phòng ngủ đóng kín cửa vào ban đêm?,"Vì ban đêm cây hô hấp lấy oxygen và thải carbon dioxide, dễ gây ngạt thở."
"Mục đích của việc cày bừa, xới đất trong trồng trọt là gì?","Giúp đất tơi xốp, chứa nhiều không khí để rễ cây hô hấp tốt."
Mỗi khí khổng được cấu tạo bởi bao nhiêu tế bào hình hạt đậu?,Hai tế bào.
Mô tả đặc điểm thành tế bào của tế bào hình hạt đậu cấu tạo nên khí khổng.,Thành trong dày và thành ngoài mỏng.
"Trong quá trình quang hợp, các chất khí khuếch tán qua khí khổng theo chiều nào?",$CO_{2}$ khuếch tán vào trong lá và $O_{2}$ khuếch tán ra ngoài môi trường.
Nguyên lí bảo quản thực phẩm bằng nồng độ $CO_{2}$ cao là gì?,"Nồng độ $CO_{2}$ cao gây ức chế quá trình hô hấp tế bào, kéo dài thời gian bảo quản."
Năng lượng ánh sáng trong quang hợp được dự trữ dưới dạng năng lượng _____ trong glucose.,hóa năng
Lấy một ví dụ về cây ưa bóng có nhu cầu ánh sáng thấp.,Cây lá lốt hoặc cây dương xỉ.
Tại sao việc trồng cây xanh ở công viên lại giúp làm sạch không khí?,"Cây hấp thụ $CO_{2}$, giải phóng $O_{2}$ và có khả năng cản bụi."
Mối quan hệ giữa quang hợp và hô hấp tế bào là gì?,Sản phẩm của quang hợp là nguyên liệu cho hô hấp và ngược lại.
"Khi đóng mạch điện, tại sao kim nam châm lại bị lệch?",Dòng điện chạy qua dây dẫn tạo ra từ trường tác dụng lực từ lên kim nam châm.
Vật liệu từ nào thường được dùng làm lõi của nam châm điện?,Sắt (hoặc thép).
Cấu tạo của khí khổng cho phép nó thực hiện chức năng thoát hơi nước bằng cơ chế nào?,Sự đóng mở của khe khí khổng dựa trên sự thay đổi độ trương nước của hai tế bào hạt đậu.
